Category,Product,City,Order Date,Sales,Discount,Profit
Oil & Masala,Masalas,Vellore,2017-11-08,1254,0.12,401.28
Beverages,Health Drinks,Krishnagiri,2017-11-08,749,0.18,149.8
Food Grains,Atta & Flour,Perambalur,2017-06-12,2360,0.21,165.2
Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,896,0.25,89.6
Food Grains,Organic Staples,Ooty,2016-10-11,2355,0.26,918.45
Food Grains,Organic Staples,Dharmapuri,2015-06-09,2305,0.26,322.7
Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,826,0.33,346.92
Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,1847,0.32,147.76
Bakery,Biscuits,Tirunelveli,2015-06-09,791,0.23,181.93
Bakery,Cakes,Chennai,2015-06-09,1795,0.27,484.65
Snacks,Chocolates,Karur,2015-06-09,1903,0.13,437.69
"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,701,0.1,308.44
Snacks,Cookies,Dindigul,2018-04-15,1659,0.19,315.21
Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,1277,0.25,63.85
"Eggs, Meat & Fish",Chicken,Kanyakumari,2016-11-22,831,0.22,207.75
Oil & Masala,Edible Oil & Ghee,Krishnagiri,2016-11-22,1440,0.11,100.8
Bakery,Cakes,Dharmapuri,2015-11-11,1678,0.28,318.82
Beverages,Health Drinks,Bodi,2015-05-13,1617,0.19,113.19
"Eggs, Meat & Fish",Mutton,Tenkasi,2015-08-27,1757,0.35,386.54
Beverages,Soft Drinks,Kanyakumari,2015-08-27,692,0.29,159.16
Beverages,Health Drinks,Vellore,2015-08-27,522,0.19,208.8
Food Grains,Dals & Pulses,Karur,2017-12-09,948,0.13,47.4
Beverages,Soft Drinks,Krishnagiri,2017-12-09,707,0.34,148.47
Fruits & Veggies,Organic Vegetables,Tenkasi,2018-07-16,969,0.29,77.52
"Eggs, Meat & Fish",Eggs,Ooty,2016-09-25,1100,0.11,495.0
Snacks,Chocolates,Tirunelveli,2017-01-16,2022,0.11,202.2
Snacks,Cookies,Trichy,2017-01-16,541,0.12,43.28
Bakery,Biscuits,Viluppuram,2016-09-17,979,0.22,401.39
Beverages,Soft Drinks,Krishnagiri,2016-09-17,1988,0.22,874.72
Oil & Masala,Masalas,Kanyakumari,2016-09-17,989,0.17,69.23
Beverages,Soft Drinks,Dharmapuri,2016-09-17,1845,0.24,166.05
Snacks,Noodles,Vellore,2016-09-17,1400,0.11,420.0
Oil & Masala,Edible Oil & Ghee,Trichy,2016-09-17,2163,0.26,670.53
Oil & Masala,Masalas,Madurai,2016-09-17,1689,0.34,337.8
Beverages,Health Drinks,Vellore,2018-10-19,809,0.32,80.9
"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,1265,0.22,569.25
Beverages,Soft Drinks,Salem,2017-12-08,934,0.35,56.04
Fruits & Veggies,Organic Vegetables,Ramanadhapuram,2016-12-27,1354,0.16,446.82
Fruits & Veggies,Fresh Fruits,Chennai,2016-12-27,1751,0.19,280.16
"Eggs, Meat & Fish",Chicken,Cumbum,2016-12-27,2045,0.23,879.35
Beverages,Health Drinks,Namakkal,2016-12-27,660,0.19,92.4
Beverages,Soft Drinks,Salem,2018-09-10,1868,0.18,616.44
Snacks,Cookies,Bodi,2017-07-17,1017,0.25,345.78
Snacks,Cookies,Dharmapuri,2018-09-19,2311,0.2,1039.95
Bakery,Biscuits,Krishnagiri,2017-03-11,1663,0.17,731.72
"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,1420,0.19,355.0
Fruits & Veggies,Organic Vegetables,Nagercoil,2015-10-20,1415,0.31,509.4
Snacks,Noodles,Chennai,2017-06-20,1488,0.3,610.08
Snacks,Noodles,Pudukottai,2017-06-20,726,0.18,43.56
Bakery,Cakes,Ooty,2016-04-18,1259,0.15,415.47
Beverages,Soft Drinks,Salem,2016-04-18,902,0.29,153.34
Beverages,Soft Drinks,Salem,2016-04-18,2306,0.3,553.44
Bakery,Cakes,Theni,2016-04-18,1417,0.19,99.19
Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,627,0.33,181.83
Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,760,0.28,60.8
Food Grains,Atta & Flour,Salem,2017-06-17,2350,0.15,611.0
"Eggs, Meat & Fish",Fish,Krishnagiri,2017-06-17,1179,0.34,271.17
Food Grains,Dals & Pulses,Trichy,2017-06-17,1624,0.35,194.88
"Eggs, Meat & Fish",Mutton,Trichy,2017-06-17,1316,0.35,421.12
Beverages,Health Drinks,Coimbatore,2017-06-17,2121,0.12,678.72
Oil & Masala,Masalas,Virudhunagar,2017-06-17,1428,0.28,271.32
Snacks,Noodles,Perambalur,2017-06-17,706,0.33,289.46
"Eggs, Meat & Fish",Fish,Dharmapuri,2016-11-24,921,0.25,184.2
Fruits & Veggies,Fresh Fruits,Trichy,2016-11-24,1741,0.31,661.58
"Eggs, Meat & Fish",Eggs,Madurai,2016-11-24,607,0.22,200.31
"Eggs, Meat & Fish",Mutton,Tirunelveli,2016-11-24,1824,0.25,766.08
Food Grains,Atta & Flour,Madurai,2016-04-30,1368,0.11,383.04
Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,1160,0.16,510.4
Food Grains,Atta & Flour,Viluppuram,2015-12-05,1294,0.23,77.64
Oil & Masala,Masalas,Ooty,2017-06-04,1232,0.14,554.4
"Eggs, Meat & Fish",Mutton,Kanyakumari,2017-09-18,994,0.31,357.84
Snacks,Noodles,Kanyakumari,2018-09-14,2468,0.18,1011.88
Snacks,Cookies,Theni,2016-04-26,721,0.27,100.94
Fruits & Veggies,Organic Vegetables,Vellore,2016-04-26,2375,0.21,475.0
Beverages,Soft Drinks,Vellore,2016-04-26,1965,0.13,117.9
Beverages,Soft Drinks,Bodi,2018-12-09,1489,0.12,193.57
Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,1250,0.27,75.0
Snacks,Noodles,Coimbatore,2018-12-09,1358,0.31,488.88
Snacks,Cookies,Vellore,2015-11-26,719,0.2,64.71
Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,2303,0.26,621.81
Beverages,Health Drinks,Kanyakumari,2017-06-12,2027,0.34,912.15
Food Grains,Atta & Flour,Bodi,2015-10-12,1739,0.29,765.16
Oil & Masala,Spices,Cumbum,2015-10-12,990,0.26,227.7
Beverages,Soft Drinks,Dharmapuri,2016-09-03,2354,0.11,682.66
Fruits & Veggies,Organic Fruits,Bodi,2018-11-13,1044,0.1,344.52
Oil & Masala,Spices,Dindigul,2018-05-28,2129,0.25,659.99
Food Grains,Rice,Theni,2018-10-26,1759,0.1,615.65
"Eggs, Meat & Fish",Eggs,Viluppuram,2018-10-26,1663,0.26,665.2
Bakery,Breads & Buns,Perambalur,2017-04-05,2111,0.21,189.99
Food Grains,Dals & Pulses,Madurai,2017-09-17,1878,0.12,450.72
"Eggs, Meat & Fish",Chicken,Ooty,2017-09-17,769,0.34,46.14
Beverages,Health Drinks,Virudhunagar,2017-09-17,1241,0.14,409.53
Food Grains,Atta & Flour,Madurai,2016-01-31,2128,0.14,383.04
Fruits & Veggies,Fresh Fruits,Namakkal,2016-01-31,2257,0.33,270.84
Snacks,Chocolates,Bodi,2016-01-31,1285,0.28,218.45
"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,1230,0.13,442.8
Food Grains,Atta & Flour,Ooty,2018-11-09,1856,0.21,723.84
Fruits & Veggies,Fresh Fruits,Trichy,2018-06-17,545,0.31,125.35
Snacks,Chocolates,Dharmapuri,2017-09-06,2301,0.28,391.17
Oil & Masala,Spices,Chennai,2017-08-29,1475,0.26,531.0
Bakery,Cakes,Coimbatore,2017-08-29,2118,0.35,910.74
Beverages,Soft Drinks,Coimbatore,2017-08-29,1527,0.17,671.88
Snacks,Chocolates,Nagercoil,2017-12-01,567,0.18,175.77
Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2016-11-13,969,0.27,184.11
Food Grains,Dals & Pulses,Karur,2016-11-13,2300,0.14,1035.0
Oil & Masala,Masalas,Kanyakumari,2016-11-13,1575,0.33,78.75
Beverages,Health Drinks,Cumbum,2018-11-23,540,0.12,108.0
Snacks,Cookies,Tirunelveli,2018-11-23,536,0.34,176.88
"Eggs, Meat & Fish",Eggs,Tirunelveli,2018-11-23,556,0.21,155.68
Fruits & Veggies,Fresh Fruits,Coimbatore,2016-10-15,1179,0.16,271.17
Food Grains,Dals & Pulses,Namakkal,2018-12-25,1487,0.12,505.58
Bakery,Breads & Buns,Pudukottai,2017-11-03,2220,0.1,111.0
Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,2155,0.3,581.85
Fruits & Veggies,Fresh Vegetables,Krishnagiri,2015-08-25,1154,0.1,69.24
Snacks,Noodles,Salem,2015-08-25,2420,0.11,242.0
Snacks,Chocolates,Karur,2015-08-25,1305,0.24,287.1
Fruits & Veggies,Organic Fruits,Bodi,2015-08-25,927,0.2,157.59
Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,983,0.11,186.77
Food Grains,Rice,Chennai,2016-04-05,903,0.1,90.3
"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,1235,0.12,74.1
Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,1243,0.24,174.02
Bakery,Cakes,Krishnagiri,2017-06-12,649,0.34,201.19
"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,2354,0.11,188.32
Beverages,Soft Drinks,Cumbum,2017-06-12,1443,0.27,187.59
Bakery,Breads & Buns,Madurai,2015-12-26,975,0.26,390.0
Fruits & Veggies,Organic Vegetables,Virudhunagar,2015-09-20,889,0.19,71.12
"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,2352,0.17,870.24
Oil & Masala,Spices,Tirunelveli,2018-11-05,1293,0.23,336.18
Food Grains,Rice,Bodi,2017-11-06,1458,0.29,597.78
Food Grains,Atta & Flour,Coimbatore,2017-11-06,1801,0.22,126.07
Snacks,Chocolates,Tenkasi,2018-02-02,1261,0.29,416.13
Beverages,Soft Drinks,Nagercoil,2018-02-02,2112,0.28,105.6
"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,640,0.24,140.8
Bakery,Cakes,Tenkasi,2017-10-13,1658,0.12,315.02
Beverages,Health Drinks,Ramanadhapuram,2017-10-13,2373,0.18,664.44
Fruits & Veggies,Organic Fruits,Cumbum,2017-10-13,1430,0.19,514.8
Oil & Masala,Spices,Viluppuram,2017-10-13,1873,0.3,674.28
"Eggs, Meat & Fish",Eggs,Theni,2017-10-13,867,0.14,329.46
Snacks,Noodles,Theni,2017-10-13,1101,0.19,484.44
"Eggs, Meat & Fish",Mutton,Ooty,2017-10-13,1088,0.28,424.32
Bakery,Biscuits,Perambalur,2017-09-05,866,0.32,381.04
Oil & Masala,Masalas,Tirunelveli,2018-09-18,2483,0.14,223.47
Food Grains,Atta & Flour,Kanyakumari,2018-09-18,1335,0.11,293.7
"Eggs, Meat & Fish",Fish,Tenkasi,2018-09-18,765,0.24,252.45
"Eggs, Meat & Fish",Mutton,Tenkasi,2018-12-22,2403,0.2,624.78
Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,1551,0.13,573.87
Food Grains,Organic Staples,Theni,2015-10-22,1564,0.27,187.68
Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,1125,0.33,292.5
Beverages,Health Drinks,Tenkasi,2017-12-05,768,0.1,184.32
"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,1985,0.26,734.45
Food Grains,Rice,Bodi,2017-12-05,2287,0.13,1029.15
Snacks,Chocolates,Pudukottai,2017-03-13,1016,0.34,335.28
Snacks,Cookies,Namakkal,2017-03-13,852,0.26,76.68
Food Grains,Organic Staples,Ramanadhapuram,2016-05-31,1233,0.28,234.27
Snacks,Noodles,Pudukottai,2016-05-31,2236,0.14,626.08
Fruits & Veggies,Fresh Vegetables,Viluppuram,2016-05-31,2188,0.32,809.56
Snacks,Cookies,Coimbatore,2016-05-28,1114,0.2,456.74
Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,1774,0.15,620.9
Beverages,Soft Drinks,Karur,2017-11-20,2364,0.21,1040.16
Food Grains,Dals & Pulses,Madurai,2017-11-20,1487,0.11,148.7
Beverages,Soft Drinks,Ooty,2017-05-11,713,0.3,192.51
"Eggs, Meat & Fish",Fish,Kanyakumari,2016-12-28,737,0.2,280.06
Snacks,Chocolates,Trichy,2017-11-16,1004,0.26,341.36
Snacks,Cookies,Theni,2017-11-07,1516,0.32,121.28
Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,1442,0.28,605.64
Beverages,Health Drinks,Madurai,2015-09-08,1690,0.33,422.5
Snacks,Chocolates,Bodi,2015-09-08,2021,0.13,343.57
"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,2340,0.25,491.4
Oil & Masala,Spices,Viluppuram,2015-09-08,705,0.15,176.25
"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,1215,0.2,60.75
Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,552,0.25,237.36
Beverages,Health Drinks,Tirunelveli,2015-08-05,1412,0.11,564.8
Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,791,0.32,150.29
Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,2476,0.33,420.92
Fruits & Veggies,Fresh Vegetables,Karur,2015-09-14,1747,0.27,471.69
Fruits & Veggies,Organic Fruits,Pudukottai,2015-09-14,1973,0.15,848.39
Oil & Masala,Spices,Krishnagiri,2018-04-21,2025,0.24,546.75
Snacks,Noodles,Vellore,2016-11-21,1016,0.29,223.52
Fruits & Veggies,Organic Fruits,Trichy,2016-11-21,689,0.3,55.12
Food Grains,Atta & Flour,Karur,2016-12-15,1322,0.16,343.72
Snacks,Cookies,Bodi,2015-12-05,1605,0.25,433.35
Beverages,Health Drinks,Namakkal,2015-12-05,1718,0.2,171.8
Oil & Masala,Edible Oil & Ghee,Madurai,2015-11-19,2177,0.35,783.72
Food Grains,Organic Staples,Cumbum,2015-11-19,578,0.19,236.98
Food Grains,Dals & Pulses,Dindigul,2015-11-19,782,0.28,195.5
Snacks,Noodles,Chennai,2017-11-28,1388,0.35,97.16
Bakery,Cakes,Cumbum,2015-08-26,2264,0.21,792.4
Beverages,Soft Drinks,Pudukottai,2017-07-16,813,0.16,138.21
Fruits & Veggies,Organic Fruits,Madurai,2017-07-16,2015,0.24,564.2
Beverages,Soft Drinks,Vellore,2016-10-12,1433,0.3,472.89
Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,2093,0.11,334.88
Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,2149,0.17,623.21
Beverages,Health Drinks,Dharmapuri,2016-10-12,1972,0.32,414.12
Oil & Masala,Masalas,Dharmapuri,2016-10-12,2060,0.25,432.6
"Eggs, Meat & Fish",Eggs,Tirunelveli,2016-10-31,1175,0.12,340.75
Oil & Masala,Edible Oil & Ghee,Theni,2015-03-21,1006,0.25,191.14
